PLA Basic Colors BambuLab 


Jade White	#FFFFFF
Beige	#F7E6DE
Gold	#E4BD68
Silver	#A6A9AA
Gray	#8E9089
Bronze	#847D48
Brown	#9D432C
Cocoa Brown	#6F5034
Maroon Red	#9D2235
Red	#C12E1F
Magenta	#EC008C
Pink	#F55A74
Hot Pink	#F5547C
Orange	#FF6A13
Pumpkin Orange	#FF9016
Sunflower Yellow	#FEC600
Yellow	#F4EE2A
Bright Green	#BECF00
Bambu Green	#00AE42
Mistletoe Green	#3F8E43
Turquoise	#00B1B7
Cyan	#0086D6
Blue	#0A2989
Cobalt Blue	#0056B8
Purple	#5E43B7
Indigo Purple	#482960
Blue Gray	#5B6579
Light Gray	#D1D3D5
Dark Gray	#545454
Black	#000000
